"cluster_id","contrast_entity","contrast_entity_label","contrast_entity_label_source","contrast_entity_label_note","canonical_name","contrast_direction","contrast_control_key","k_effective","n_sig","I2_med","coherence_verdict","coherence_reason","n_studi_censiti","n_studi_poolati","stessi_membri","studi_caduti"
"cgroup_L5_2e16719f","HGNC:11766","TGFB1","hgnc",NA,"TGFB1","gain","vehicle_untreated",49,7233,94.1623857922488,"coherent",NA,65,49,FALSE,"GSE103293 GSE118816 GSE119946 GSE127903 GSE127964 GSE135402 GSE150042 GSE184356 GSE197132 GSE220972 GSE222402 GSE225982 GSE233083 GSE264038 GSE269066 GSE97829"
"cgroup_L5_c548d053","CHEBI:16412","lipopolysaccharide","chebi",NA,"lipopolysaccharide","gain","vehicle_untreated",35,6883,84.6752774416472,"coherent",NA,50,35,FALSE,"GSE101409 GSE110947 GSE111927 GSE122267 GSE139278 GSE149141 GSE163165 GSE166238 GSE168468 GSE185433 GSE235310 GSE251809 GSE46323 GSE50792 GSE85243"
"cgroup_L5_871ae09e","NCBITaxon:2697049","SARS-CoV-2","override","dizionario: nome scientifico normalizzato senza spazi","sars-cov2","gain","vehicle_untreated",33,1801,95.6570624247797,"coherent",NA,38,33,FALSE,"GSE155717 GSE165200 GSE167131 GSE174745 GSE206677"
"cgroup_L5_d9e23e09","HGNC:11892","TNF","hgnc",NA,"Recombinant Tumor Necrosis Factor-alpha (human)","gain","vehicle_untreated",32,7345,79.7514575037443,"coherent",NA,41,32,FALSE,"GSE128638 GSE138237 GSE148987 GSE152755 GSE166079 GSE194220 GSE213972 GSE225274 GSE247226"
"cgroup_L5_83f57274","STR:hypoxia","hypoxia","str_literal",NA,"hypoxia","gain","normoxia",25,4068,93.7981195766766,"coherent",NA,37,25,FALSE,"GSE101799 GSE118362 GSE120886 GSE154162 GSE157371 GSE163333 GSE183112 GSE197576 GSE212201 GSE254480 GSE59987 GSE78025"
"cgroup_L5_b71a25a2","CHEBI:137113","JQ1","chebi",NA,"<small>D</small>-cycloserine(1+)","gain","vehicle_untreated",24,9501,95.76516340358,"coherent",NA,41,24,FALSE,"GSE131967 GSE139230 GSE140003 GSE145028 GSE145469 GSE148395 GSE158552 GSE162205 GSE174617 GSE197426 GSE219191 GSE236168 GSE74230 GSE75364 GSE77737 GSE83724 GSE96779"
"cgroup_L5_930c8dcf","CHEBI:16330","DHT (5alpha-dihydrotestosterone)","override","nome sistematico ChEBI: 17beta-hydroxy-5alpha-androstan-3-one","4-maleylacetoacetate","gain","vehicle_untreated",23,4875,85.0101202763395,"coherent",NA,34,23,FALSE,"GSE102183 GSE118152 GSE131726 GSE152246 GSE174589 GSE242735 GSE43785 GSE45202 GSE54946 GSE55903 GSE84432"
"cgroup_L5_f94b6180","CHEBI:379896","R1881 (metribolone)","override","nome sistematico ChEBI: 17beta-hydroxy-17-methylestra-4;9;11-trien-3-one","dihydrotestosterone","gain","vehicle_untreated",22,8427,94.9454918982389,"coherent",NA,26,22,FALSE,"GSE71797 GSE84432 GSE97204 GSE99381"
"cgroup_L5_87c40ebb","HGNC:5438","IFNG","hgnc",NA,"IFNG","gain","vehicle_untreated",19,3222,90.7186228689484,"coherent",NA,35,19,FALSE,"GSE129381 GSE130443 GSE144989 GSE150300 GSE152755 GSE161916 GSE164902 GSE174617 GSE189376 GSE198460 GSE203220 GSE221804 GSE234424 GSE237971 GSE246923 GSE84691"
"cgroup_L5_c0d1d837","CHEBI:68534","enzalutamide","chebi",NA,"enzalutamide","gain","vehicle_untreated",19,3498,87.8183425154914,"coherent",NA,29,19,FALSE,"GSE110903 GSE137775 GSE138460 GSE146402 GSE189966 GSE202755 GSE217537 GSE248895 GSE250422 GSE97204"
"cgroup_L5_021e875e","CHEBI:27899","cisplatin","chebi",NA,"2,2',3,4',5,5'-Hexachloro-4-biphenylol","gain","vehicle_untreated",17,1018,96.4406750553064,"coherent",NA,30,17,FALSE,"GSE101419 GSE119978 GSE133029 GSE139887 GSE146402 GSE158638 GSE158640 GSE165560 GSE180854 GSE198887 GSE215254 GSE235549 GSE241913"
"cgroup_L5_905be893","HGNC:5992","IL1B","hgnc",NA,"Interleukin-1beta","gain","vehicle_untreated",17,1422,86.6773720128269,"coherent",NA,26,17,FALSE,"GSE115311 GSE158219 GSE160092 GSE184777 GSE193414 GSE196195 GSE205851 GSE224999 GSE97619"
"cgroup_L5_b6b8bc00","CHEBI:85993","palbociclib","chebi",NA,"PI(18:0/18:3(6Z,9Z,12Z))","gain","vehicle_untreated",15,2833,93.2852504295226,"coherent",NA,26,15,FALSE,"GSE110397 GSE128056 GSE133568 GSE140758 GSE190792 GSE197600 GSE197601 GSE235738 GSE241943 GSE268848 GSE99116"
